Port,#1
139/tcp,45
445/tcp,45
137/udp,43
135/tcp,41
5040/tcp,22
7680/tcp,16
80/tcp,14
49668/tcp,12
1947/tcp,9
443/tcp,9
49154/tcp,9
161/udp,8
515/tcp,8
9100/tcp,8
49667/tcp,7
49666/tcp,6
21/tcp,5
49155/tcp,5
49669/tcp,5
5358/tcp,5
9090/tcp,5
9101/tcp,5
9102/tcp,5
9103/tcp,5
22/tcp,4
3389/tcp,4
49665/tcp,4
17500/tcp,3
23/tcp,3
49670/tcp,3
49672/tcp,3
5060/tcp,3
631/tcp,3
1900/udp,2
3910/tcp,2
3911/tcp,2
49156/tcp,2
49176/tcp,2
50248/tcp,2
5357/tcp,2
5938/tcp,2
7070/tcp,2
8080/tcp,2
123/udp,1
1443/tcp,1
1935/tcp,1
2000/tcp,1
24801/tcp,1
280/tcp,1
3020/tcp,1
30810/tcp,1
3185/tcp,1
3186/tcp,1
3187/tcp,1
34576/tcp,1
49152/tcp,1
49153/tcp,1
49220/tcp,1
49228/tcp,1
49237/tcp,1
49675/tcp,1
49702/tcp,1
49703/tcp,1
49711/tcp,1
50348/tcp,1
5061/tcp,1
51423/tcp,1
51431/tcp,1
51868/tcp,1
51937/tcp,1
52104/tcp,1
52447/tcp,1
53/tcp,1
53460/tcp,1
56003/tcp,1
57444/tcp,1
5985/tcp,1
6183/tcp,1
62906/tcp,1
6666/tcp,1
7080/tcp,1
7440/tcp,1
7443/tcp,1
7445/tcp,1
7446/tcp,1
7447/tcp,1
8200/tcp,1
8289/tcp,1
8291/tcp,1
8295/tcp,1
8834/tcp,1
902/tcp,1
9091/tcp,1
9095/tcp,1
9097/tcp,1
912/tcp,1
9395/tcp,1
9999/tcp,1
